127.0.0.1 - - [22/May/2023:20:57:04 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:04 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 200 28987
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/slide/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/slide/carousel3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/i.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/g.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/shopping-cart-template.PNG HTTP/1.1" 200 32687
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/h.jpg HTTP/1.1" 200 29856
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/bootstrap-ecommerce-templates.PNG HTTP/1.1" 200 18891
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/bootstrap-template.png HTTP/1.1" 200 31994
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/paypal.jpg HTTP/1.1" 200 28395
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/maestro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/pp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/mc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/disc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2023:20:57:05 +0700] "GET /DemoSpringMVC/assets/user/img/visa.png HTTP/1.1" 304 -
